Ticket #,Customer Complaint,Category,Date,Time,Received Via,City,State,Zip code,Status,Filing on Behalf of Someone,Estimated time of resolution
250635,Comcast Cable Internet Speeds,Miscellaneous,2015-04-22,15:53:50,Customer Care Call,Abingdon,Maryland,21009,closed,No,2015-04-29
223441,Payment disappear - service got disconnected,Billing issues,04-08-2015,10:22:56,Internet,Acworth,Georgia,30102,closed,No,09-08-2015
242732,Speed and Service,Speed issues,18-04-2015,09:55:47,Internet,Acworth,Georgia,30101,closed,Yes,27-04-2015
277946,Comcast Imposed a New Usage Cap of 300GB that punishes streaming.,Miscellaneous,05-07-2015,11:59:35,Internet,Acworth,Georgia,30101,open,Yes,
307175,Comcast not working and no service to boot,Hardware issues,26-05-2015,13:25:26,Internet,Acworth,Georgia,30101,closed,No,03-06-2015
338519,ISP Charging for arbitrary data limits with overage fees,Miscellaneous,06-12-2015,21:59:40,Internet,Acworth,Georgia,30101,closed,No,16-12-2015
361148,Throttling service and unreasonable miscellaneous,Miscellaneous,24-06-2015,10:13:55,Customer Care Call,Acworth,Georgia,30101,open,No,
359792,Comcast refuses to help troubleshoot and correct my service.,Miscellaneous,23-06-2015,18:56:14,Internet,Adrian,Michigan,49221,closed,No,02-07-2015
318072,Comcast extended outages,Miscellaneous,06-01-2015,23:46:30,Customer Care Call,Alameda,California,94502,closed,No,17-01-2015
371214,Comcast Raising Prices and Not Being Available To Ask Why,Miscellaneous,28-06-2015,18:46:31,Customer Care Call,Alameda,California,94501,open,Yes,
255938,Billing after service was asked to be disconnected,Billing issues,24-04-2015,16:40:36,Internet,Albuquerque,New Mexico,87106,closed,No,29-04-2015
276409,YAHOO FAILURE TO RESTORE EMAIL SEARCH FEATURE,Miscellaneous,05-06-2015,15:09:49,Customer Care Call,Albuquerque,New Mexico,87109,closed,No,14-06-2015
339282,Comcast Violating Open Internet Rules by Blocking HBO Go Access on Sony Consoles,Miscellaneous,13-06-2015,16:03:18,Internet,Albuquerque,New Mexico,87105,open,Yes,
360178,Internet speed,Speed issues,23-06-2015,21:23:23,Internet,Albuquerque,New Mexico,87113,closed,No,29-06-2015
376268,Internet Disconnects Every Night,Hardware issues,30-06-2015,22:30:02,Customer Care Call,Albuquerque,New Mexico,87116,closed,No,10-07-2015
370137,Internet complaint,Hardware issues,27-06-2015,15:25:03,Customer Care Call,Albuquerqur,New Mexico,87102,open,No,
363695,Internet Availability and Speed,Speed issues,24-06-2015,23:47:33,Customer Care Call,Alexandria,Indiana,46001,closed,No,30-06-2015
238694,Comcast owes me $65 and claims I need to return equipment I never had,Miscellaneous,16-04-2015,10:04:57,Internet,Alexandria,Virginia,22304,closed,No,26-04-2015
230876,Horrible Internet Service,Speed issues,04-11-2015,19:48:05,Customer Care Call,Alexandria,Virginia,22305,closed,No,10-11-2015
318725,Failure to provide services that I am billed for.,Billing issues,06-02-2015,13:03:52,Customer Care Call,Alexandria,Virginia,22314,closed,No,11-02-2015
327657,Internet out all the time but they have a monopoly,Hardware issues,06-07-2015,20:55:43,Customer Care Call,Alexandria,Virginia,22305,closed,No,17-07-2015
328742,horrible cable service and customer service,Hardware issues,06-08-2015,15:18:58,Internet,Alexandria,Virginia,22312,closed,No,18-08-2015
328165,Speed,Speed issues,06-08-2015,12:03:37,Customer Care Call,Alexandria,Virginia,22304,closed,No,15-08-2015
370538,Comcast monopoly bundling practices,Miscellaneous,27-06-2015,21:04:34,Internet,Alexandria,Virginia,22304,open,No,
